flight_number,departure_airport,arrival_airport,departure_date,arrival_date,departure_time,arrival_time,airline,flight_duration,passenger_count,ticket_price,cabin_class,flight_status,aircraft_type,pilot_name,co_pilot_name
7922,TLW,CIQ,4/23/2022,12/16/2022,4:52 AM,7:11 PM,United,8.72,279,240.49,Business,Delayed,Airbus A320,Stearn Eayres,Sibel Stanlock
1669,HAE,ZHY,3/29/2022,8/18/2022,9:33 PM,8:47 AM,American,6.84,367,126.41,Economy,Cancelled,Boeing 737,Maximilian Epdell,Minnnie Frays
5545,NBH,ZMD,5/21/2022,6/26/2022,1:57 AM,8:43 PM,American,3.08,265,765.38,Economy,Cancelled,Airbus A320,Dougy Freshwater,Ethelind Sollime
8327,CSN,LAM,5/28/2022,1/12/2022,8:28 AM,7:13 AM,Delta,1.44,49,936.83,Economy,Cancelled,Boeing 787,Bobby Figgess,Clerkclaude Locket
7042,QSF,SHY,10/5/2022,2/22/2022,3:35 AM,10:33 AM,American,5.27,342,673.01,Economy,On Time,Airbus A320,Caren Tue,Enrico O'Hallagan
3724,CIA,TBM,8/5/2022,5/3/2022,7:37 PM,1:12 AM,American,4.01,389,173.69,First,On Time,Boeing 737,Elisabeth Jakoub,Sashenka Ferentz
9063,MOE,PDD,7/1/2022,9/12/2022,9:41 AM,5:25 AM,United,5.28,374,64.26,Economy,On Time,Boeing 787,Wernher Francino,Jereme Paur
7342,YYZ,DNH,6/18/2022,3/29/2022,2:41 PM,11:16 PM,United,8.49,266,776.49,Business,On Time,Airbus A320,Isaak Lacknor,Carmine Godding
2303,BRP,ZHP,5/15/2022,8/13/2022,12:14 AM,4:05 AM,United,5.06,153,508.09,Business,On Time,Airbus A320,Felita Bulford,Delores Wark
9851,CCB,BHR,1/20/2022,9/28/2022,5:57 PM,10:55 AM,Delta,1.34,389,268.06,Economy,Delayed,Airbus A320,Neil Bilborough,Dolley Mars
8677,NLK,KRE,11/3/2022,11/10/2022,9:01 AM,3:39 AM,American,8.7,175,632.59,Economy,On Time,Boeing 737,Carmine Shallcroff,Hardy Morewood
4298,PGO,CZN,10/16/2022,4/4/2022,12:52 PM,12:40 PM,Delta,1.02,105,848.31,First,Delayed,Airbus A320,Lissa Atwell,Northrop Haldene
8204,IAA,ASU,8/17/2022,8/10/2022,1:36 AM,8:34 AM,Delta,2.42,361,639.08,Business,On Time,Boeing 737,Ashleigh Devote,Rodd Ceschini
1140,TPU,BHJ,11/23/2022,8/22/2022,11:16 PM,10:14 AM,United,1.33,249,187.81,Economy,Delayed,Airbus A320,Gabbi Querrard,Jaquenette Denge
1840,LME,SDF,3/28/2022,9/8/2022,7:07 PM,5:38 PM,United,6.95,227,876.25,Business,On Time,Boeing 787,Petronella Dudleston,Shea Van Weedenburg
1243,RDU,TSW,5/22/2022,3/18/2022,12:36 AM,12:16 AM,American,4.67,142,443.03,Business,On Time,Boeing 737,Cami De Moreno,Faustine Singh
6984,HYR,SHC,9/1/2022,3/30/2022,11:02 AM,8:26 PM,Delta,3.87,87,213.18,First,Delayed,Boeing 737,Noel Wimes,Verile Freen
8693,OVB,EUA,5/12/2022,12/12/2022,11:26 PM,8:48 PM,American,8.23,384,330.52,Business,Delayed,Boeing 737,Ronnica Kear,Siana Choldcroft
2635,BHL,WIO,9/25/2022,1/18/2022,10:48 PM,10:38 AM,United,8.66,469,137.63,First,On Time,Airbus A320,Shalom Ferreiro,Gannie Hatliff
6911,FDU,KTM,4/27/2022,4/19/2022,3:40 AM,7:17 PM,United,1.5,133,198.9,Business,On Time,Airbus A320,Lev Jannings,Chrissie Bellson
478,EVA,THN,9/8/2022,10/24/2022,5:45 AM,1:10 PM,Delta,5.54,137,601.32,First,Cancelled,Boeing 737,Lonnie Yewdale,Sallee Powner
7405,YMS,YDU,6/6/2022,12/22/2022,6:36 AM,2:06 AM,Delta,4.4,103,234.92,Business,Cancelled,Airbus A320,Ewen Corzor,Diahann Hexum
1039,MPA,PHT,10/17/2022,2/22/2022,11:41 AM,9:09 PM,Delta,6.91,285,951.17,Business,Delayed,Boeing 737,Dwain Thomason,Ashli Hanney
1016,DBT,RRG,2/24/2022,2/15/2022,10:39 AM,2:12 PM,American,4.55,98,818.2,Economy,Cancelled,Airbus A320,Sheryl Rotherham,Hughie Baldinotti
7941,KUC,PEV,6/2/2022,6/25/2022,11:02 AM,6:20 AM,American,9.51,422,341.37,Economy,Cancelled,Boeing 787,Imogen Baine,Barris Hartzenberg
141,CTH,MLR,11/13/2022,8/13/2022,10:19 AM,1:45 PM,American,4.49,270,550.16,First,Cancelled,Airbus A320,Camey Ipwell,Rozele Bourthoumieux
9424,OUZ,BRA,8/30/2022,6/11/2022,2:19 PM,11:29 AM,American,2.57,298,496.42,First,On Time,Boeing 737,Faulkner Tomlinson,Egbert Curthoys
8165,XUZ,PTZ,7/3/2022,8/14/2022,8:13 PM,11:41 AM,United,1.82,496,644.31,Economy,Delayed,Boeing 787,Regan Portch,Mahala Chappell
4595,ZTA,OLR,9/10/2022,12/10/2022,3:27 PM,2:48 AM,United,8.45,235,870.07,First,Delayed,Airbus A320,Ashlan Fransman,Fifi Robet
2794,FUE,OHB,5/14/2022,4/22/2022,7:06 PM,10:07 PM,American,2.59,487,134.04,First,Delayed,Boeing 737,Berrie Lansdale,Celina Beecroft
8360,FOT,HKP,9/24/2022,10/31/2022,7:01 PM,2:26 PM,American,9.7,419,860.78,Business,On Time,Airbus A320,Hyatt Dalby,Felice Stidever
8524,GRD,FLN,11/12/2022,12/2/2022,3:32 AM,5:01 PM,United,3.17,12,694.68,First,Delayed,Boeing 787,Enos Richardet,Stefanie Lusher
7530,OCJ,KKG,12/3/2022,7/25/2022,4:46 PM,10:11 PM,American,5.97,314,379.42,Business,Delayed,Boeing 787,Legra Fost,Trefor McGing
4893,LPP,FLU,11/10/2022,12/24/2022,12:43 AM,4:40 PM,Delta,4.41,442,541.27,Economy,Delayed,Airbus A320,Dorothea Gordon-Giles,Evey MacBain
7626,GQQ,SOV,2/25/2022,5/18/2022,11:49 AM,2:15 PM,American,6.23,50,703.19,First,Delayed,Boeing 787,Ivy McRannell,Ripley Velasquez
2856,ACL,STA,9/7/2022,11/15/2022,1:23 PM,2:46 AM,Delta,6.94,210,367.51,Business,Delayed,Boeing 787,Filide Danet,Elizabet Capelen
4709,WWR,IRC,9/28/2022,3/6/2022,7:26 PM,7:31 AM,American,1.31,492,230.44,Business,Cancelled,Boeing 787,Grayce Stickens,Donnell Aspinell
7802,SHY,LEN,10/7/2022,10/27/2022,11:29 PM,8:33 PM,Delta,8.08,106,444.72,Business,On Time,Airbus A320,Roxana Oxbe,Amii Bredes
6265,GCM,DUJ,6/22/2022,6/24/2022,1:25 AM,7:09 AM,United,4.46,365,116.94,First,Cancelled,Boeing 787,Kayne Cabell,Griff O'Dowd
8647,TSZ,BZS,1/12/2022,2/20/2022,10:07 AM,4:47 PM,Delta,2.79,425,638.9,First,Delayed,Airbus A320,Gerek Glendza,Kitty Alejandro
4668,DAN,LBJ,12/11/2022,5/12/2022,3:44 AM,5:05 AM,American,7.84,147,62.62,Economy,Delayed,Boeing 737,Alicea Petera,Maureen Nilles
7230,SPY,GLG,10/4/2022,2/26/2022,4:48 AM,7:49 PM,Delta,2.84,103,640.62,Business,Cancelled,Boeing 787,Morgen Alwell,Tommy Pidgeley
5910,BDV,MXA,8/6/2022,2/20/2022,12:39 PM,9:09 AM,United,4.34,235,283.27,Business,On Time,Boeing 737,Sibley O' Shea,Grete Menloe
968,WDR,RUH,2/20/2022,7/27/2022,9:10 PM,11:57 AM,Delta,3.42,52,920.11,Business,On Time,Boeing 737,Lowrance Stannett,Jeremias Alekhov
9248,MZH,BZP,9/30/2022,10/11/2022,1:06 AM,8:29 AM,United,2.55,443,97.31,Economy,On Time,Boeing 737,Ryon Crichmer,Shaun Cupper
7150,DMK,CTR,9/16/2022,10/4/2022,7:22 PM,11:53 PM,United,9.0,20,77.07,First,Cancelled,Boeing 787,Trenna Catteroll,Minne Brandenberg
2668,KSK,OKI,11/22/2022,6/25/2022,6:34 PM,8:07 AM,American,2.68,131,638.77,First,Cancelled,Boeing 787,Arline Tevlin,Blondelle Clingan
6963,HBK,LMA,4/24/2022,8/2/2022,9:15 AM,6:22 AM,Delta,2.26,303,681.91,Business,On Time,Airbus A320,Wiley Welberry,Mollee Bellwood
1856,ELN,JKG,5/15/2022,5/22/2022,3:59 PM,4:42 AM,United,6.1,86,618.53,Economy,Cancelled,Airbus A320,Joseph Karadzas,Arther Conklin
7374,CLG,KAM,4/26/2022,8/16/2022,11:42 PM,10:50 AM,American,3.56,279,191.75,Business,On Time,Boeing 787,Tessi Grinnell,Noah Mably
4862,CSK,BOW,1/5/2022,12/4/2022,7:10 AM,3:12 PM,United,9.28,497,160.52,First,Delayed,Boeing 787,Hadria Nacey,Muriel Wilcinskis
3877,AMP,KAU,3/10/2022,6/19/2022,10:24 PM,2:26 PM,Delta,7.33,216,401.23,First,Cancelled,Boeing 737,Vilhelmina Roskell,Susette Chisman
8017,RZP,NTY,3/12/2022,7/10/2022,5:07 AM,10:44 AM,American,2.28,461,824.35,Business,Delayed,Boeing 787,Jasmin Titterton,Sheffy Glaister
5178,WIC,BXG,4/11/2022,4/15/2022,11:12 PM,5:29 PM,American,7.9,406,213.77,Business,Cancelled,Boeing 737,Zechariah Alison,Inger Bachnic
7054,TKE,WMA,7/20/2022,6/19/2022,9:08 AM,6:30 PM,American,5.76,267,971.29,Business,Cancelled,Boeing 787,Tessi Maciejewski,Durant Saint
1969,CLG,AGG,12/27/2022,6/1/2022,8:06 PM,10:14 AM,United,6.36,475,739.78,Economy,Cancelled,Boeing 737,Corbin Stetson,Anders Riach
3347,LJA,WDR,2/23/2022,4/10/2022,8:48 PM,6:47 PM,Delta,8.95,409,554.56,First,On Time,Boeing 787,Nedi Corkan,Elnora FitzGibbon
1242,EGV,GRC,12/9/2022,3/24/2022,1:51 AM,11:07 PM,American,3.9,197,664.13,First,Cancelled,Airbus A320,Normy Keggin,Reggi Scrogges
309,YTA,APX,11/18/2022,8/30/2022,1:12 PM,1:22 PM,Delta,5.96,181,408.95,First,On Time,Airbus A320,Richard Kardos,Stacee Ablewhite
7123,AYY,PHM,11/6/2022,5/26/2022,4:31 AM,1:30 AM,Delta,7.12,3,175.07,Business,Cancelled,Airbus A320,Delmar Laflin,Andrew O'Collopy
7584,ZST,PKK,1/15/2022,2/16/2022,8:58 AM,1:05 PM,Delta,9.96,319,551.67,Business,Delayed,Boeing 737,Perice Nadin,Dinny Robers
4809,DWS,NOO,12/2/2022,11/6/2022,3:09 PM,7:42 PM,United,5.51,186,488.0,Business,On Time,Boeing 787,Yvonne Rathke,Forrest Hearn
8722,CLV,EAU,4/24/2022,5/30/2022,3:32 PM,10:37 AM,Delta,6.38,438,129.03,First,On Time,Boeing 787,Kinna Ineson,Dora Scapens
7427,JOG,ONR,12/28/2022,6/27/2022,7:28 PM,9:39 PM,American,1.46,438,772.21,Business,On Time,Airbus A320,Irena Phinnis,Bibbie Clemoes
4166,ZEC,KUN,5/23/2022,11/19/2022,12:59 PM,10:50 PM,American,2.63,352,803.4,Business,On Time,Boeing 737,Jackson Pettisall,Ellie Catterall
7622,MPI,AAK,6/9/2022,8/31/2022,3:07 AM,11:58 AM,American,2.82,76,361.46,First,On Time,Boeing 787,Sullivan Crinion,Wolfy Eisikowitch
3058,HSC,ESW,11/21/2022,6/11/2022,9:13 PM,5:41 AM,United,2.31,404,703.2,Business,Cancelled,Airbus A320,Jeanna Huxter,Kristoforo Casetta
2800,ILL,DTM,5/8/2022,8/6/2022,1:28 AM,8:14 PM,Delta,3.76,314,197.55,Business,On Time,Airbus A320,Doralin Greenroad,Gertruda Sjostrom
9939,BHW,OKK,4/2/2022,7/23/2022,3:00 PM,3:27 AM,American,1.66,443,259.25,Business,On Time,Boeing 737,Devy Losebie,Shaylah Begley
996,EDO,SNK,11/15/2022,10/22/2022,3:07 AM,6:43 AM,American,5.35,229,165.91,First,Cancelled,Boeing 787,Theresina Loutheane,Free McKinnell
308,ABI,QOQ,5/24/2022,7/30/2022,12:01 AM,8:56 PM,American,5.57,127,743.73,Business,Cancelled,Airbus A320,Cornie Krahl,Trace Hickeringill
9815,ROU,PBG,8/3/2022,2/1/2022,12:50 AM,3:25 PM,Delta,3.05,160,499.84,Economy,Cancelled,Airbus A320,Marie-jeanne Berkery,Seymour Lazenby
5851,CXY,VPS,3/20/2022,9/7/2022,6:37 PM,8:27 PM,United,4.19,101,104.71,First,On Time,Airbus A320,Valentijn Tolliday,Tripp Reinbach
2431,JAN,FRW,8/20/2022,3/4/2022,4:53 AM,8:43 AM,American,4.72,272,737.62,Economy,On Time,Airbus A320,Huberto Mogridge,Alon Feakins
3921,PIZ,OXF,3/3/2022,10/12/2022,9:38 AM,3:28 PM,United,7.86,38,437.23,First,Cancelled,Boeing 787,Maegan Meindl,Herbie Klishin
2403,RAF,PTJ,3/5/2022,8/31/2022,7:31 AM,7:52 AM,Delta,2.65,281,740.96,First,Cancelled,Airbus A320,Evangelin Rubke,Don Pringour
9365,BHX,KHH,5/17/2022,10/11/2022,6:30 PM,4:58 PM,American,7.53,473,118.3,Business,On Time,Airbus A320,Frederique Parratt,Ivett Stonier
8709,CIP,MKQ,3/8/2022,10/2/2022,4:32 PM,11:28 PM,Delta,2.86,58,817.94,Business,Delayed,Boeing 787,Cosme Whiscard,Lenard Frape
3881,LGG,BIN,2/27/2022,2/9/2022,10:15 AM,6:41 AM,United,4.49,465,51.04,Economy,Cancelled,Boeing 787,Imojean Bowmaker,Kaila Este
5161,CEO,WOE,9/11/2022,10/10/2022,10:48 PM,11:16 AM,United,8.27,429,322.54,First,Delayed,Airbus A320,Wendell Bulbrook,Elsy Grimes
5914,BQS,CVN,8/17/2022,9/26/2022,9:17 AM,1:31 AM,Delta,2.18,305,925.29,Business,Delayed,Airbus A320,Bernadine Rampling,Merell Plumbley
2922,PUA,MRP,7/14/2022,3/13/2022,4:36 AM,2:55 AM,Delta,7.12,370,912.78,First,Delayed,Boeing 737,Isaiah Jeaycock,Martelle McGonagle
8329,ECA,EPU,7/11/2022,10/26/2022,1:11 AM,5:23 AM,American,4.62,27,539.48,Business,On Time,Boeing 787,Arabele Scurman,Wells Oakden
9934,YWS,YHR,8/14/2022,3/20/2022,12:46 AM,1:29 AM,Delta,5.8,71,79.52,First,On Time,Boeing 787,Bertina Tolerton,Newton Bangs
1472,NCT,NRM,4/1/2022,5/11/2022,6:21 AM,2:55 PM,American,2.05,480,329.74,Economy,Cancelled,Boeing 737,Johan Yanyshev,Kira Storkes
6420,KAM,ABI,3/17/2022,10/27/2022,4:21 AM,1:48 AM,American,4.2,248,198.81,Economy,On Time,Airbus A320,Maggy Brydon,Tamarra Lougheid
3881,TNC,DAS,4/9/2022,11/1/2022,2:15 PM,12:46 AM,Delta,3.25,187,349.29,Economy,Cancelled,Boeing 787,Emalia Pilgrim,Karalynn Prendeguest
9646,AWK,FEG,2/27/2022,11/30/2022,12:35 AM,12:40 AM,American,1.66,248,713.32,Economy,Cancelled,Boeing 787,Mady Petronis,Ermentrude Warlawe
6118,ALI,PAO,10/11/2022,12/11/2022,1:27 PM,6:14 AM,Delta,1.26,132,893.53,First,On Time,Boeing 787,Vassily Verbruggen,Brana Vogl
1400,EUN,BHM,9/19/2022,3/3/2022,10:00 AM,11:49 AM,Delta,6.69,346,777.41,First,Cancelled,Airbus A320,Rowney Renshaw,Dorie Sperling
7197,KGJ,ZRJ,12/14/2022,5/29/2022,10:01 PM,7:28 PM,Delta,1.82,354,256.08,Business,Cancelled,Boeing 787,Hymie Sommersett,Cross Marks
2493,PWO,FKL,2/9/2022,12/7/2022,4:13 PM,7:57 AM,United,2.94,116,464.46,Economy,Cancelled,Airbus A320,Katha Fennick,Dag Pressnell
6393,NNR,YYY,7/30/2022,3/15/2022,4:35 AM,5:27 AM,Delta,4.06,85,176.86,First,Cancelled,Boeing 737,Ailbert Crabtree,Brandyn Kernaghan
9791,KHJ,HEX,5/17/2022,9/15/2022,12:41 PM,4:42 PM,United,2.62,188,135.49,Business,Cancelled,Boeing 787,Titus Bezarra,Nora Ragles
3295,AEH,AKW,3/18/2022,4/3/2022,2:38 AM,12:22 PM,American,9.47,100,320.53,Business,On Time,Boeing 787,Yetty Capaldi,Billye Tather
7531,ONQ,DOE,5/29/2022,10/19/2022,10:53 AM,10:40 AM,Delta,9.33,241,121.54,Economy,Cancelled,Airbus A320,Donnie Annell,Hillyer MacTague
1869,PTD,EZE,4/7/2022,11/17/2022,3:09 AM,7:51 PM,Delta,2.08,117,628.27,Economy,On Time,Boeing 737,Wiatt Orrin,Tiffi Flewitt
4169,LOE,CSR,11/7/2022,8/16/2022,4:13 PM,11:12 AM,Delta,2.35,424,814.8,Economy,On Time,Airbus A320,Sharon Di Giorgio,Tomas Thorns
980,BDH,BOG,9/13/2022,3/23/2022,4:44 AM,7:29 PM,American,1.54,208,682.05,Economy,On Time,Boeing 737,Beniamino Burdas,Susanne Yannikov
8859,IHU,HMR,11/2/2022,12/20/2022,6:08 AM,10:31 PM,American,1.86,26,470.03,First,Delayed,Airbus A320,Chicky Whyborn,Mildrid Belton
4124,EHT,NDM,11/7/2022,7/5/2022,7:23 PM,7:56 PM,Delta,2.22,416,199.0,Business,Delayed,Boeing 737,Ferdinanda Kingswoode,Aretha Venn
289,DAA,KST,9/22/2022,4/14/2022,1:13 AM,7:18 PM,American,3.75,83,282.31,Business,Cancelled,Boeing 737,Ethelyn Bennet,Adrian Flower
8583,0,GYM,4/14/2022,8/14/2022,10:31 PM,7:10 AM,Delta,4.98,392,997.79,Business,Cancelled,Boeing 737,Myrah Scholler,Genia Goadby
1591,YDV,APN,7/23/2022,6/12/2022,11:38 AM,2:16 PM,Delta,4.11,61,514.35,Business,Cancelled,Boeing 787,Otes Lembrick,Tabby Leving
8252,SZQ,ARR,12/18/2022,5/20/2022,12:10 PM,12:04 PM,American,6.36,229,893.21,Economy,On Time,Boeing 737,Devland Corneck,Maud Turbill
5022,TPF,LTW,3/31/2022,8/30/2022,2:26 AM,4:44 PM,American,7.15,493,256.71,Business,Cancelled,Airbus A320,Allyce Saunier,Michaella Tadlow
2052,LUR,RTP,12/19/2022,6/14/2022,6:18 AM,2:16 AM,Delta,4.73,341,817.67,First,Delayed,Boeing 787,Francis Ygoe,Alfred Faithfull
5799,ULD,TMW,2/25/2022,6/16/2022,5:47 AM,4:10 PM,American,5.94,256,787.78,Economy,Cancelled,Boeing 737,Modestine Brennen,Cally Clayill
4232,HKD,HSJ,3/24/2022,5/29/2022,3:01 PM,10:22 AM,American,8.29,301,664.17,Economy,On Time,Boeing 787,Bernard Edeson,Noam Crosseland
9209,SPZ,KIX,11/17/2022,3/5/2022,10:53 AM,12:00 PM,United,5.55,493,71.53,Economy,Cancelled,Boeing 737,Ursala Episcopio,Chelsy Byer
2801,MMJ,YTJ,8/1/2022,12/12/2022,9:12 PM,1:52 AM,American,4.3,408,886.97,Economy,On Time,Boeing 737,Burg Accum,Clement Fadell
4377,LWE,LXG,1/12/2022,3/18/2022,8:49 AM,3:18 PM,Delta,4.18,16,742.65,Business,Delayed,Boeing 787,El Fraser,Ferdinande Halse
8321,BZX,NVA,4/10/2022,11/9/2022,6:58 AM,5:27 AM,American,2.89,103,758.39,Business,Cancelled,Airbus A320,Sansone Llewellen,Kissee Leisman
3989,CDU,SUO,6/21/2022,5/11/2022,11:56 AM,6:24 AM,United,7.28,364,678.28,Business,Delayed,Boeing 737,Maria Tossell,Garrick Perl
3258,NLU,BHS,9/14/2022,8/24/2022,5:16 AM,2:25 PM,American,6.39,482,786.62,Economy,On Time,Boeing 737,Minnnie Reddihough,Gil Water
1610,GQQ,BRM,8/17/2022,7/4/2022,7:27 AM,9:36 AM,Delta,6.93,315,727.01,First,On Time,Boeing 737,Carole Halsey,Rob Capehorn
464,OHB,DGG,8/4/2022,11/24/2022,9:01 AM,6:10 PM,Delta,3.22,175,810.79,First,Delayed,Airbus A320,Adina Cowpertwait,Trix Kennet
8566,CZM,KWB,1/5/2022,10/28/2022,10:56 PM,9:48 PM,Delta,6.07,478,573.71,First,Delayed,Boeing 737,Tadd Yusupov,Keri Torel
1214,PDV,BLL,11/22/2022,2/3/2022,2:37 AM,7:16 PM,Delta,9.24,233,369.86,Business,Delayed,Boeing 737,Aarika Cridlin,Cyndy Shiel
5967,SCL,BVF,10/15/2022,12/7/2022,6:43 AM,5:15 PM,Delta,9.57,60,821.47,Economy,Cancelled,Boeing 787,Binky Dubery,Dosi Paler
4343,YHD,APH,12/12/2022,12/23/2022,7:37 PM,12:13 AM,American,5.19,91,745.91,First,Cancelled,Boeing 787,Micki Newbury,Davine McCarlich
3782,BCO,JCY,10/16/2022,4/23/2022,9:56 AM,9:56 AM,United,3.1,136,98.95,Economy,Cancelled,Boeing 787,Phylis Lygo,Nanci Rosen
2224,OCS,WDN,5/7/2022,2/20/2022,4:19 PM,10:55 PM,United,8.0,140,458.59,Business,Delayed,Boeing 787,Corie Iceton,Moritz Ellsbury
4362,BCA,GOK,3/14/2022,7/2/2022,7:57 AM,5:19 PM,Delta,6.99,476,982.71,First,Cancelled,Boeing 787,Uriel Hebbs,Yoko Ryall
6511,TSX,YPS,10/9/2022,12/2/2022,8:46 AM,7:24 PM,Delta,4.78,310,339.84,Economy,Delayed,Boeing 737,Pavla Napolione,Patin Gillions
6067,RMK,BRK,6/5/2022,9/6/2022,2:34 PM,3:30 AM,United,8.21,353,160.31,Economy,Delayed,Airbus A320,Putnam Vogt,Darcee Izacenko
8893,COW,BCE,9/7/2022,5/7/2022,12:29 PM,8:40 AM,Delta,5.09,15,223.33,First,Cancelled,Boeing 737,Chrotoem Cooksey,Tull Kolinsky
6008,YTT,WHD,2/28/2022,5/8/2022,7:34 AM,4:11 PM,Delta,1.52,104,759.12,Business,Cancelled,Boeing 737,Anthiathia Sturley,Dollie Mariotte
1932,TVU,ABS,3/13/2022,12/7/2022,1:26 AM,3:26 PM,United,9.47,171,899.12,First,Cancelled,Airbus A320,Xaviera Gleaves,Edvard Humpatch
2834,KEA,VTU,8/14/2022,7/28/2022,8:54 AM,6:04 AM,American,3.43,348,857.16,First,On Time,Boeing 787,Hebert Petch,Andeee Woodlands
6524,SJQ,FMO,9/14/2022,11/23/2022,7:37 AM,10:13 PM,United,3.34,404,938.18,Business,Delayed,Boeing 737,Kimberly Edmundson,Carr Duckham
4092,DTD,KHY,7/6/2022,12/26/2022,12:25 PM,7:55 AM,United,7.3,183,501.5,First,On Time,Boeing 737,Rosco Lincoln,Hernando Sarah
8760,SSA,EMM,10/13/2022,3/10/2022,3:16 AM,7:34 AM,United,7.25,203,385.39,Business,On Time,Boeing 737,Dana Wrates,Meggie Wittman
1353,FDH,MOG,2/16/2022,1/10/2022,6:02 AM,2:04 PM,Delta,1.59,119,958.57,Economy,On Time,Boeing 737,Lucia Jouanny,Sinclare Kares
5421,IPN,UAP,6/30/2022,12/10/2022,5:25 AM,2:51 AM,American,4.22,64,64.52,First,Cancelled,Boeing 787,Norrie Conibere,Delmar Center
1777,LHA,LIT,1/23/2022,1/20/2022,12:55 PM,1:59 AM,United,9.97,333,745.05,First,On Time,Boeing 737,Therine Postle,Chadd Gouda
8017,IXM,0,5/18/2022,2/17/2022,5:33 PM,12:01 PM,Delta,1.23,494,132.74,Economy,Cancelled,Boeing 737,Tonye Edds,Far Cockitt
2019,PPQ,CAL,5/25/2022,10/23/2022,3:06 PM,5:44 PM,United,2.56,330,814.52,First,Delayed,Airbus A320,Bunnie Saggs,Holly Ellacott
907,KFA,MTY,1/4/2022,10/17/2022,7:15 AM,10:01 AM,United,2.54,270,610.42,First,On Time,Boeing 787,Kylynn Keling,Fleming Dwelley
5438,SOE,UTM,5/8/2022,10/17/2022,3:08 PM,5:48 AM,United,2.17,171,225.32,Business,Cancelled,Airbus A320,Frasco Jodlkowski,Karalynn Shilleto
691,LRA,KSL,6/29/2022,2/24/2022,6:55 PM,10:29 PM,American,5.69,326,642.84,Business,Delayed,Boeing 737,Darwin Martino,Carmine Rickardes
2734,AFO,SFH,10/21/2022,5/13/2022,11:04 PM,6:05 PM,United,4.09,147,343.46,Economy,On Time,Boeing 787,Arel Skivington,Aluino Hallows
5465,DCI,WAE,2/16/2022,4/4/2022,10:38 AM,7:25 AM,American,2.51,243,485.72,First,On Time,Boeing 737,Jedidiah Booton,Idalina Rendell
5706,XME,CCO,2/11/2022,10/29/2022,8:24 PM,10:39 PM,United,6.45,123,216.82,Economy,On Time,Boeing 787,Rabbi Greenard,Angelique Ayars
7035,YVR,MWK,3/8/2022,6/26/2022,12:53 AM,3:33 PM,United,1.6,41,472.16,Economy,On Time,Boeing 787,Scarlet Kubelka,Faber Swepson
6678,GRF,AGO,9/13/2022,7/17/2022,2:27 PM,5:54 AM,United,1.54,411,893.97,Economy,On Time,Boeing 737,Wally Nancarrow,Fara Grimmer
5446,ZAO,WED,2/6/2022,6/9/2022,5:52 PM,6:17 PM,American,5.95,177,456.16,Business,On Time,Boeing 787,Lynnett Thrift,Dorice Kimmel
509,HYN,TKP,2/9/2022,11/19/2022,10:41 PM,8:20 PM,United,9.92,467,940.39,Economy,On Time,Boeing 787,Gerty Pellitt,Jorie Oganian
3211,GDL,DDG,12/21/2022,7/7/2022,11:32 AM,5:08 AM,United,8.22,315,776.97,Economy,Delayed,Boeing 787,Shoshanna Gianetti,Elfrida Antal
2527,LOP,SLE,4/25/2022,4/16/2022,3:39 AM,11:43 PM,American,3.15,420,295.06,First,Delayed,Airbus A320,Normand Standbrook,Jada Mitskevich
6023,BXO,HTH,7/27/2022,12/5/2022,11:30 PM,6:07 AM,American,4.33,419,593.77,Economy,Cancelled,Airbus A320,Jillie D'Aguanno,Ranique Pennetti
